sn	name	typeName	tips	contentBG
308113,Ivory Cotton Pants,Casual,Can be put on at the closet in your bedroom.,AAAAAA==
308114,Green Fringe Boots,Casual,You can put them on at the closet in your bedroom.,AAAAAA==
308121,Blue Bucket Hat,Casual,You can put it on at the closet in your bedroom.,<color=#ffffff>  </color>
308122,Aqua Designer Cap,Casual,Can be put on at the closet in your bedroom.,AAAAAA==
308123,Cyan Cotton Pants,Casual,Can be put on at the closet in your bedroom.,AAAAAA==
308124,Cyan Fringe Boots,Casual,You can put them on at the closet in your bedroom.,AAAAAA==
309039,Holiday Pj's,Loungewear,Can be put on at the closet in your bedroom.,<color=#ffffff>  </color>
309040,School Uniform,Casual,Can be put on at the closet in your bedroom.,<color=#ffffff>  </color>
309041,Countryside Classic,Casual,A coordinated outfit that can be put on at the closet in your bedroom.,<color=#ffffff>  </color>
309042,Classic Outfit,Casual,A coordinated outfit that can be put on at the closet in your bedroom.,<color=#ffffff>  </color>
309043,Athleisure Outfit,Casual,A coordinated outfit that can be put on at the closet in your bedroom.,<color=#ffffff>  </color>
309044,Pink Athleisure Outfit,Casual,A coordinated outfit that can be put on at the closet in your bedroom.,<color=#ffffff>  </color>
309045,White Athleisure Outfit,Casual,A coordinated outfit that can be put on at the closet in your bedroom.,<color=#ffffff>  </color>
309046,Purple Athleisure Outfit,Casual,A coordinated outfit that can be put on at the closet in your bedroom.,<color=#ffffff>  </color>
309047,Green Athleisure Outfit,Casual,A coordinated outfit that can be put on at the closet in your bedroom.,<color=#ffffff>  </color>
309048,Orange Athleisure Outfit,Casual,A coordinated outfit that can be put on at the closet in your bedroom.,<color=#ffffff>  </color>
309049,Yellow Athleisure Outfit,Casual,A coordinated outfit that can be put on at the closet in your bedroom.,<color=#ffffff>  </color>
309050,Coral Athleisure Outfit,Casual,A coordinated outfit that can be put on at the closet in your bedroom.,<color=#ffffff>  </color>
309051,Brown Athleisure Outfit,Casual,A coordinated outfit that can be put on at the closet in your bedroom.,<color=#ffffff>  </color>
309052,Aqua Athleisure Outfit,Casual,A coordinated outfit that can be put on at the closet in your bedroom.,<color=#ffffff>  </color>
309053,Pink Shell Outfit,Casual,A coordinated outfit that can be put on at the closet in your bedroom.,<color=#ffffff>  </color>
309054,Green Shell Outfit,Casual,A coordinated outfit that can be put on at the closet in your bedroom.,<color=#ffffff>  </color>
309055,Blue Shell Outfit,Casual,A coordinated outfit that can be put on at the closet in your bedroom.,<color=#ffffff>  </color>
309056,Brown Shell Outfit,Casual,A coordinated outfit that can be put on at the closet in your bedroom.,<color=#ffffff>  </color>
309057,Purple Shell Outfit,Casual,A coordinated outfit that can be put on at the closet in your bedroom.,<color=#ffffff>  </color>
309058,Aizome Jinbei,Loungewear,A coordinated outfit that can be put on at the closet in your bedroom.,<color=#ffffff>  </color>
309059,Checkered Jinbei,Loungewear,A coordinated outfit that can be put on at the closet in your bedroom.,<color=#ffffff>  </color>
309060,Mint Jinbei,Loungewear,A coordinated outfit that can be put on at the closet in your bedroom.,<color=#ffffff>  </color>
309061,Maple Leaf Jinbei,Loungewear,A coordinated outfit that can be put on at the closet in your bedroom.,<color=#ffffff>  </color>
309062,Navy and White Jinbei,Loungewear,A coordinated outfit that can be put on at the closet in your bedroom.,<color=#ffffff>  </color>
309063,Light Blue Artsy Outfit,Casual,A coordinated outfit that can be put on at the closet in your bedroom.,<color=#ffffff>  </color>
309064,Blue Artsy Outfit,Casual,A coordinated outfit that can be put on at the closet in your bedroom.,<color=#ffffff>  </color>
309065,Red Artsy Outfit,Casual,A coordinated outfit that can be put on at the closet in your bedroom.,<color=#ffffff>  </color>
309066,Purple Artsy Outfit,Casual,A coordinated outfit that can be put on at the closet in your bedroom.,<color=#ffffff>  </color>
309067,[NB][IT][067],Casual,Error: tnxotb-[Item_tips_309067],<color=#ffffff>  </color>
309068,[NB][IT][068],Casual,Error: tnxotb-[Item_tips_309068],<color=#ffffff>  </color>
309501,Wonder's Thief Attire,Phantom Thief Attire,You can select it from the profile menu. This outfit cannot be mixed and matched.,<color=#ffffff>  </color>
309502,Beachwear,Phantom Thief Attire,You can select it from the profile menu. This outfit cannot be mixed and matched.,<color=#ffffff>  </color>
310101,Barn Owl,Capsule Toy,Obtained from a Zoshigaya-exclusive capsule machine. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310102,Blakiston's Fish Owl,Capsule Toy,Obtained from a Zoshigaya-exclusive capsule machine. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310103,Little Owl,Capsule Toy,Obtained from a Zoshigaya-exclusive capsule machine. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310104,Scops Owl,Capsule Toy,Obtained from a Zoshigaya-exclusive capsule machine. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310105,Long-Eared Owl,Capsule Toy,Obtained from a Zoshigaya-exclusive capsule machine. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310106,Snowy Owl,Capsule Toy,A super rare capsule obtained from a Zoshigaya-exclusive capsule machine. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310111,Lively Shichi-kun,Capsule Toy,Obtained from a Shibuya-exclusive capsule machine. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310112,Cool Shichi-kun,Capsule Toy,Obtained from a Shibuya-exclusive capsule machine. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310113,Clumsy Shichi-kun,Capsule Toy,Obtained from a Shibuya-exclusive capsule machine. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310114,Hungry Shichi-kun,Capsule Toy,Obtained from a Shibuya-exclusive capsule machine. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310115,Chill Shichi-kun,Capsule Toy,Obtained from a Shibuya-exclusive capsule machine. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310116,Balloon Shichi-kun,Capsule Toy,A super rare capsule obtained from a Shibuya-exclusive capsule machine. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310121,Capy B. with Oranges,Capsule Toy,Obtained from a Shinjuku-exclusive capsule machine. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310122,Capy B. with Yuzu,Capsule Toy,Obtained from a Shinjuku-exclusive capsule machine. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310123,Caby B. with Durian,Capsule Toy,Obtained from a Shinjuku-exclusive capsule machine. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310124,Capy B. with Duckies,Capsule Toy,Obtained from a Shinjuku-exclusive capsule machine. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310125,Capy B. with Kitty,Capsule Toy,Obtained from a Shinjuku-exclusive capsule machine. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310126,Capy B. Family,Capsule Toy,A super rare capsule obtained from a Shinjuku-exclusive capsule machine. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310131,Bake-danuki,Capsule Toy,Obtained from a capsule machine in the city. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310132,Karakasa Kozo,Capsule Toy,Obtained from a capsule machine in the city. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310133,Hitotsume Kozo,Capsule Toy,Obtained from a capsule machine in the city. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310134,Umibozu,Capsule Toy,Obtained from a capsule machine in the city. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310135,Inari Fox,Capsule Toy,Obtained from a capsule machine in the city. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310136,Nekomata,Capsule Toy,Obtained from a capsule machine in the city. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310137,Kitsune no Yomeiri,Capsule Toy,Obtained from a capsule machine in the city. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310138,Zashiki-warashi,Capsule Toy,A super rare capsule obtained from a capsule machine in the city. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310141,Red Panther,Capsule Toy,Obtained from a capsule machine in the city. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310142,Sonic Dash,Capsule Toy,Obtained from a capsule machine in the city. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310143,Armored Hero,Capsule Toy,Obtained from a capsule machine in the city. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310144,Valkyrie,Capsule Toy,Obtained from a capsule machine in the city. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310145,Primal Beast,Capsule Toy,Obtained from a capsule machine in the city. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310146,Sky Commander,Capsule Toy,A super rare capsule obtained from a capsule machine in the city. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310151,Drummer Shichi-kun,Capsule Toy,Obtained from a Shibuya-exclusive capsule machine. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310152,Cannonball Shichi-kun,Capsule Toy,Obtained from a Shibuya-exclusive capsule machine. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310153,Magician Shichi-kun,Capsule Toy,Obtained from a Shibuya-exclusive capsule machine. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310154,Clown Shichi-kun,Capsule Toy,Obtained from a Shibuya-exclusive capsule machine. Can be displayed in your display case at home.,<color=#ffffff>  </color>
309069,Beige Knit Outfit,Casual,A coordinated outfit that can be put on at the closet in your bedroom.,<color=#ffffff>  </color>
309070,Light Blue Knit Outfit,Casual,A coordinated outfit that can be put on at the closet in your bedroom.,<color=#ffffff>  </color>
309071,Green Knit Outfit,Casual,A coordinated outfit that can be put on at the closet in your bedroom.,<color=#ffffff>  </color>
309072,Aqua Knit Outfit,Casual,A coordinated outfit that can be put on at the closet in your bedroom.,<color=#ffffff>  </color>
310155,Beast Tamer Shichi-kun,Capsule Toy,Obtained from a Shibuya-exclusive capsule machine. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310156,Mime Shichi-kun,Capsule Toy,Obtained from a Shibuya-exclusive capsule machine. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310157,Acrobat Shichi-kun,Capsule Toy,Obtained from a Shibuya-exclusive capsule machine. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310158,Big Top Shichi-kun,Capsule Toy,Obtained from a Shibuya-exclusive capsule machine. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310161,Salmonique Rollock,Capsule Toy,Obtained from a Kichijoji-exclusive capsule machine. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310162,Tune A. Rollins,Capsule Toy,Obtained from a Kichijoji-exclusive capsule machine. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310163,Shrimpy Rolla,Capsule Toy,Obtained from a Kichijoji-exclusive capsule machine. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310164,Urchie Rolestone,Capsule Toy,Obtained from a Kichijoji-exclusive capsule machine. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310165,Clamara Rolan,Capsule Toy,Obtained from a Kichijoji-exclusive capsule machine. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310166,Avocadus Rollson,Capsule Toy,Obtained from a Kichijoji-exclusive capsule machine. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310167,Crobbie Rollinshaw,Capsule Toy,Obtained from a Kichijoji-exclusive capsule machine. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310168,Alevin Abode,Capsule Toy,Obtained from a Kichijoji-exclusive capsule machine. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310171,Red Office Hero,Capsule Toy,Obtained from a capsule machine in the city. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310172,Blue Office Hero,Capsule Toy,Obtained from a capsule machine in the city. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310173,Green Office Hero,Capsule Toy,Obtained from a capsule machine in the city. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310174,Yellow Office Hero,Capsule Toy,Obtained from a capsule machine in the city. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310175,Pink Office Hero,Capsule Toy,Obtained from a capsule machine in the city. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310176,Gray Office Exec,Capsule Toy,Obtained from a capsule machine in the city. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310181,Capy B. with Crab,Capsule Toy,Obtained from a Kichijoji-exclusive capsule machine. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310182,Capy B. with Jellyfish,Capsule Toy,Obtained from a Kichijoji-exclusive capsule machine. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310183,Capy B. with Pineapple,Capsule Toy,Obtained from a Kichijoji-exclusive capsule machine. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310184,Capy B. with Yuzu,Capsule Toy,A rare capsule obtained from a Kichijoji-exclusive capsule machine. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310185,Capy B. with Fried Shrimp,Capsule Toy,Obtained from a Kichijoji-exclusive capsule machine. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310186,Capy B. with Octopus,Capsule Toy,Obtained from a Kichijoji-exclusive capsule machine. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310187,Capy B. with Ice Cream,Capsule Toy,A rare capsule obtained from a Kichijoji-exclusive capsule machine. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310188,Capy B. with Crown,Capsule Toy,A super rare capsule obtained from a Kichijoji-exclusive capsule machine. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310191,WOLF WARRIOR 03,Capsule Toy,Obtained from a capsule machine in the city. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310192,MONKEY BUSTER,Capsule Toy,Obtained from a capsule machine in the city. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310193,BIRD STRIKER,Capsule Toy,Obtained from a capsule machine in the city. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310194,CAT ROVER 10,Capsule Toy,Obtained from a capsule machine in the city. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310195,TANKODILE,Capsule Toy,A rare capsule obtained from a capsule machine in the city. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310196,TRONASAURUS 01,Capsule Toy,A super rare capsule obtained from a capsule machine in the city. Can be displayed in your display case at home.,<color=#ffffff>  </color>
310601,Node Breaker,Combat Chip,Used in the 24-hour TV program Brawl Bots."	AAAAAA==
310602	Hacking Device	Combat Chip	Used in the 24-hour TV program "Brawl Bots."	AAAAAA==
310603	Synchro-attack	Combat Chip	Used in the 24-hour TV program "Brawl Bots."	AAAAAA==
310604	Flooding Device	Combat Chip	Used in the 24-hour TV program "Brawl Bots."	AAAAAA==
310605	Trojan Horse	Combat Chip	Used in the 24-hour TV program "Brawl Bots."	AAAAAA==
310606	Overloader	Combat Chip	Used in the 24-hour TV program "Brawl Bots."	AAAAAA==
310607	Detection I0	Robot	Used in the 24-hour TV program "Brawl Bots."	AAAAAA==
310608	Guard Break N1	Robot	Used in the 24-hour TV program "Brawl Bots."	AAAAAA==
310609	Element Type T0	Robot	Used in the 24-hour TV program "Brawl Bots."	AAAAAA==
310610	Element Type E2	Robot	Used in the 24-hour TV program "Brawl Bots."	AAAAAA==
310611	Diselectro R0	Robot	Used in the 24-hour TV program "Brawl Bots."	AAAAAA==
310612	Flame Buster N3	Robot	Used in the 24-hour TV program "Brawl Bots."	AAAAAA==
310613	Replicator E9	Robot	Used in the 24-hour TV program "Brawl Bots."	AAAAAA==
310614	Fortified Moxy T1	Robot	Used in the 24-hour TV program "Brawl Bots."	AAAAAA==
310615	Fortified Moxy E2	Drone	Used in the 24-hour TV program "Brawl Bots."	AAAAAA==
310616	Flame Buster X3	Drone	Used in the 24-hour TV program "Brawl Bots."	AAAAAA==
310617	Data Healer P1	Drone	Used in the 24-hour TV program "Brawl Bots."	AAAAAA==
310618	Expansion L9	Drone	Used in the 24-hour TV program "Brawl Bots."	AAAAAA==
310619	Charger O1	Drone	Used in the 24-hour TV program "Brawl Bots."	AAAAAA==
310620	Trojan S8	Drone	Used in the 24-hour TV program "Brawl Bots."	AAAAAA==
310621	Data Hasher I4	Drone	Used in the 24-hour TV program "Brawl Bots."	AAAAAA==
310622	Overclock O1	Drone	Used in the 24-hour TV program "Brawl Bots."	AAAAAA==
310623	Enhancement N9	Drone	Used in the 24-hour TV program "Brawl Bots."	AAAAAA==
310624	Route Booster F1	Drone	Used in the 24-hour TV program "Brawl Bots."	AAAAAA==
310625	Magnificent F2	Drone	Used in the 24-hour TV program "Brawl Bots."	AAAAAA==
310626	Electro Pulse F3	Drone	Used in the 24-hour TV program "Brawl Bots."	AAAAAA==
310801	Ordinary Background	Display Case Background	A background for your capsule toy display case.	<color=#ffffff>  </color>
310802	Shibuya Background	Display Case Background	A background for your capsule toy display case.	<color=#ffffff>  </color>
310803	4WD Tanks Background	Display Case Background	A background for your capsule toy display case.	<color=#ffffff>  </color>
310804	Winter Owls Background	Display Case Background	A background for your capsule toy display case.	<color=#ffffff>  </color>
310805	Onsen Background	Display Case Background	A background for your capsule toy display case.	<color=#ffffff>  </color>
310806	Queue of 100 Demons Background	Display Case Background	A background for your capsule toy display case.	<color=#ffffff>  </color>
310807	Circus Background	Display Case Background	A background for your capsule toy display case.	<color=#ffffff>  </color>
310808	Party Background	Display Case Background	A background for your capsule toy display case.	<color=#ffffff>  </color>
310809	Sushi Background	Display Case Background	A background for your capsule toy display case.	<color=#ffffff>  </color>
310810	Office Background	Display Case Background	A background for your capsule toy display case.	<color=#ffffff>  </color>
310811	Brawl Background	Display Case Background	A background for your capsule toy display case.	<color=#ffffff>  </color>
351000	Thief's Cognitite Shard	Cognitite Shard Set	Collect 60 to obtain one Cognitite.	<color=#ffffff>  </color>
351011	Ryuji's Cognitite Shard	Cognitite Shard	Collect 60 to obtain one Ryuji's Cognitite.	<color=#ffffff>  </color>
351021	Morgana's Cognitite Shard	Cognitite Shard	Collect 60 to obtain one Morgana's Cognitite.	<color=#ffffff>  </color>
351032	Summer Motoha's Cognitite Shard	Cognitite Shard	Collect 60 to obtain one Summer Motoha's Cognitite.	<color=#ffffff>  </color>
351091	Yaoling's Cognitite Shard	Cognitite Shard	Collect 60 to obtain one Yaoling's Cognitite.	<color=#ffffff>  </color>
351102	Summer Riko's Cognitite Shard	Cognitite Shard	Collect 60 to obtain one Summer Tomoko's Cognitite.	<color=#ffffff>  </color>
351111	Yui's Cognitite Shard	Cognitite Shard	Collect 60 to obtain one Yui's Cognitite.	<color=#ffffff>  </color>
351151	Akechi's Cognitite Shard	Cognitite Shard	Collect 60 to obtain one Akechi's Cognitite.	<color=#ffffff>  </color>
351161	Yusuke's Cognitite Shard	Cognitite Shard	Collect 60 to obtain one Yusuke's Cognitite.	<color=#ffffff>  </color>
351171	Futaba's Cognitite Shard	Cognitite Shard	Collect 60 to obtain one Futaba's Cognitite.	<color=#ffffff>  </color>
351191	Ann's Cognitite Shard	Cognitite Shard	Collect 60 to obtain one Ann's Cognitite.	<color=#ffffff>  </color>
351201	Makoto's Cognitite Shard	Cognitite Shard	Collect 60 to obtain one Makoto's Cognitite.	<color=#ffffff>  </color>
351231	Minami's Cognitite Shard	Cognitite Shard	Collect 60 to obtain one Minami's Cognitite.	<color=#ffffff>  </color>
351251	Haru's Cognitite Shard	Cognitite Shard	Collect 60 to obtain one Haru's Cognitite.	<color=#ffffff>  </color>
351261	Ren's Cognitite Shard	Cognitite Shard	Collect 60 to obtain one Ren's Cognitite.	<color=#ffffff>  </color>
351281	Haruna's Cognitite Shard	Cognitite Shard	Collect 60 to obtain one Haruna's Cognitite.	<color=#ffffff>  </color>
351291	Kitazato's Cognitite Shard	Cognitite Shard	Collect 60 to obtain one Kitazato's Cognitite.	<color=#ffffff>  </color>
351311	Yumi's Cognitite Shard	Cognitite Shard	Collect 60 to obtain one Yumi's Cognitite.	<color=#ffffff>  </color>
351321	Ayaka's Cognitite Shard	Cognitite Shard	Collect 60 to obtain one Ayaka's Cognitite.	<color=#ffffff>  </color>
351331	Ashiya's Cognitite Shard	Cognitite Shard	Collect 60 to obtain one Ashiya's Cognitite.	<color=#ffffff>  </color>
360000	Point	Invitation	For use in the minigame Tycoon.	<color=#ffffff>  </color>
360001	Ren's Invite	Invitation	Allows Ren Amamiya to play Tycoon.	<color=#ffffff>  </color>
360002	Morgana's Invite	Invitation	Allows Morgana to play Tycoon.	<color=#ffffff>  </color>
360003	Ryuji's Invite	Invitation	Allows Ryuji Sakamoto to play Tycoon.	<color=#ffffff>  </color>
360004	Ann's Invite	Invitation	Allows Ann Takamaki to play Tycoon.	<color=#ffffff>  </color>
360005	Yusuke's Invite	Invitation	Allows Yusuke Kitagawa to play Tycoon.	<color=#ffffff>  </color>
360006	Makoto's Invite	Invitation	Allows Makoto Niijima to play Tycoon.	<color=#ffffff>  </color>
360007	Futaba's Invite	Invitation	Allows Futaba Sakura to play Tycoon.	<color=#ffffff>  </color>
360008	Haru's Invite	Invitation	Allows Haru Okumura to play Tycoon.	<color=#ffffff>  </color>
360009	Ashiya's Invite	Invitation	Allows Masaki Ashiya to play Tycoon.	<color=#ffffff>  </color>
360010	Kotone's Invite	Invitation	Allows Kotone Montagne to play Tycoon.	<color=#ffffff>  </color>
360011	Yui's Invite	Invitation	Allows Yui to play Tycoon.	<color=#ffffff>  </color>
360012	Kasumi's Invite	Invitation	Allows Kasumi Yoshizawa to play Tycoon.	<color=#ffffff>  </color>
360013	Minami's Invite	Invitation	Allows Minami Miyashita to play Tycoon.	<color=#ffffff>  </color>
360014	Haruna's Invite	Invitation	Allows Haruna Nishimori to play Tycoon.	<color=#ffffff>  </color>
360015	Yaoling's Invite	Invitation	Allows Yaoling Li to play Tycoon.	<color=#ffffff>  </color>
360016	Kurotani's Invite	Invitation	Allows Kiyoshi Kurotani to play Tycoon.	<color=#ffffff>  </color>
360017	Tomoko's Invite	Invitation	Allows Tomoko Noge to play Tycoon.	<color=#ffffff>  </color>
360101	Ashiya ♦6	Card Sleeve	Changes the 6 of diamonds in Tycoon to a custom design.	<color=#ffffff>  </color>
360102	Ryuji ♣K	Card Sleeve	Changes the king of spades in Tycoon to a custom design.	<color=#ffffff>  </color>
360103	Ann ♥Q	Card Sleeve	Changes the queen of hearts in Tycoon to a custom design.	<color=#ffffff>  </color>
360104	Morgana ♣K	Card Sleeve	Changes the king of clubs in Tycoon to a custom design.	<color=#ffffff>  </color>
360105	Yusuke ♥K	Card Sleeve	Changes the king of hearts in Tycoon to a custom design.	<color=#ffffff>  </color>
360106	Makoto ♠Q	Card Sleeve	Changes the queen of spades in Tycoon to a custom design.	<color=#ffffff>  </color>
360107	Futaba ♣Q	Card Sleeve	Changes the queen of clubs in Tycoon to a custom design.	<color=#ffffff>  </color>
360108	Haru ♦Q	Card Sleeve	Changes the queen of diamonds in Tycoon to a custom design.	<color=#ffffff>  </color>
360109	Kasumi ♥J	Card Sleeve	Changes the jack of hearts in Tycoon to a custom design.	<color=#ffffff>  </color>
360110	Lufel ♣A	Card Sleeve	Changes the ace of clubs in Tycoon to a custom design.	<color=#ffffff>  </color>
360111	Motoha ♥A	Card Sleeve	Changes the ace of hearts in Tycoon to a custom design.	<color=#ffffff>  </color>
360112	Shun ♠A	Card Sleeve	Changes the ace of spades in Tycoon to a custom design.	<color=#ffffff>  </color>
360113	Riko ♦A	Card Sleeve	Changes the ace of diamonds in Tycoon to a custom design.	<color=#ffffff>  </color>
400001	Under Contract	Item	Sign a contract.	<color=#ffffff>  </color>
400002	System Handbook	Item	Can increase Synergy levels with an accomplice.	<color=#ffffff>  </color>
400003	Makeup 101	Item	Can increase Synergy levels with an accomplice.	<color=#ffffff>  </color>
400004	Rakugo and You	Item	A beginner's guide to Rakugo. Purchased at Hinokuniya while on an errand for Tetsunojou Shishida.	<color=#ffffff>  </color>
400005	Palace of Laughter	Item	An ancient book on Rakugo. Purchased at Taiheido Bookstore while on an errand for Tetsunojou Shishida.	<color=#ffffff>  </color>
400006	Dark Chocolate	Item	For use in a specific event.	<color=#ffffff>  </color>
400007	[NB][IT][007]	Item	[NB][IT][007]	<color=#ffffff>  </color>
400010	Camellias	Flower	An especially valuable variety of camellia.	<color=#ffffff>  </color>
400011	Super Rich Green Tea	Daily Life Item	For use in a specific event.	<color=#ffffff>  </color>
400012	Extra-Strength Nutrients	Fertilizer	A nutrient for use on plants. Reduces harvest time by a large amount	 and increases yields.	<color=#ffffff>  </color>
400013	Tabby's Treasure	Unknown	For use in City Life.	<color=#ffffff>  </color>
400014	Tabby's Treasure	Unknown	For use in City Life.	<color=#ffffff>  </color>
400015	Tasty Treats Cat Food	Unknown	For use in City Life.	<color=#ffffff>  </color>
400016	Tabby's Treasure	Unknown	For use in City Life.	<color=#ffffff>  </color>
400017	Bouquet	Unknown	For use in City Life.	<color=#ffffff>  </color>
400018	Premium Ticket	Commemorative Item	For use in the fan appreciation event.	<color=#ffffff>  </color>
400019	Glass Orb	Item	For use in the Tabby's Treasure Hunt.	AAAAAA==
400020	Puzzle Piece	Puzzle Piece	A piece of a scattered puzzle that can be put together.	<color=#ffffff>  </color>
400021	Brocade Fireworks	Firework Shape	One of the firework types you can choose at the fireworks festival. Obtained in Summer! Swimsuits! Sea Time!	<color=#ffffff>  </color>
400022	Spinner Fireworks	Firework Shape	One of the firework types you can choose at the fireworks festival. Obtained in Summer! Swimsuits! Sea Time!	<color=#ffffff>  </color>
400023	Willow Fireworks	Firework Shape	One of the firework types you can choose at the fireworks festival. Obtained in Summer! Swimsuits! Sea Time!	<color=#ffffff>  </color>
400024	Peony Fireworks	Firework Shape	One of the firework types you can choose at the fireworks festival. Obtained in Summer! Swimsuits! Sea Time!	<color=#ffffff>  </color>
400025	Crackle Fireworks	Firework Shape	One of the firework types you can choose at the fireworks festival. Obtained in Summer! Swimsuits! Sea Time!	<color=#ffffff>  </color>
400026	Wing Fireworks	Firework Shape	One of the firework types you can choose at the fireworks festival. Obtained in Summer! Swimsuits! Sea Time!	<color=#ffffff>  </color>
400027	Heart Fireworks	Firework Shape	One of the firework types you can choose at the fireworks festival. Obtained in Summer! Swimsuits! Sea Time!	<color=#ffffff>  </color>
400028	Star Fireworks	Firework Shape	One of the firework types you can choose at the fireworks festival. Obtained in Summer! Swimsuits! Sea Time!	<color=#ffffff>  </color>
400029	Gold Metal Powder	Firework Color	Gives the fireworks of the festival a glimmering gold shine.	AAAAAA==
400030	Rainbow Metal Powder	Firework Color	Gives the fireworks of the festival a ruby red shine.	AAAAAA==
400031	Purple Metal Powder	Firework Color	Gives the fireworks of the festival a vibrant violet shine.	AAAAAA==
400032	Fireworks Shell	Event Item	A material required to make fireworks. Obtained in Summer! Swimsuits! Sea Time!	<color=#ffffff>  </color>
400033	Driver's Point	Event Item	Awarded for clearing conditions in Send 'Em Flying. Can be used to exchange for various items.	<color=#ffffff>  </color>
351212	Kotone's Cognitite Shard	Cognitite Shard	Collect 60 to obtain one Yui's Cognitite.	<color=#ffffff>  </color>
400034	Celebratory Popper	Event Item	Awarded for clearing the Half Anniversary event mission. If over a certain number of players use it	 they will receive a reward.	<color=#ffffff>  </color>
400035	Tycoon Medal	Event Item	Awarded for winning in the Tycoon event. For every 100 that you earn	 you will receive a reward.	AAAAAA==
400036	Cat Food	Event Item	Can be exchanged for rewards in the Shop.	<color=#ffffff>  </color>
400037	Glass Orb	Item	For use in the Tabby's Treasure Hunt.	AAAAAA==
410000	Treasure Chest Key	Stage	A key that opens a treasure chest. Only usable once.	<color=#ffffff>  </color>
410001	Secret Key 1	Stage	Used to open special doors in a Palace.	<color=#ffffff>  </color>
410002	Secret Key 2	Stage	Used to open special doors in a Palace.	<color=#ffffff>  </color>
410003	Secret Key 3	Stage	Used to open special doors in a Palace.	<color=#ffffff>  </color>
410004	The Slave Book	Stage	For use in a Palace.	<color=#ffffff>  </color>
410005	The Queen Book	Stage	For use in a Palace.	<color=#ffffff>  </color>
410006	The King Book	Stage	For use in a Palace.	<color=#ffffff>  </color>
